"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C2,C4,C5,C11";"CP_Radial_D4.0mm_P1.50mm";5;"220n";;;
2;"C3,C12";"CP_Radial_D6.3mm_P2.50mm";2;"10u";;;
3;"C6,C7,C8,C9";"CP_Radial_D5.0mm_P2.00mm";4;"0.1u";;;
4;"C10";"CP_Radial_D5.0mm_P2.00mm";1;"1u";;;
5;"C13";"CP_Radial_D5.0mm_P2.00mm";1;"100n";;;
6;"C14";"C_Rect_L4.0mm_W2.5mm_P2.50mm";1;"10n";;;
7;"R1,R15";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"220k";;;
8;"R2,R8";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"270k";;;
9;"R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"560";;;
10;"R4,R11";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"22k";;;
11;"R5,R14";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"12";;;
12;"R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"47k";;;
13;"R7,R9";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"180k";;;
14;"R10,R13";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";2;"100k";;;
15;"R12";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1M";;;
16;"R16";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1k";;;
17;"U1";"DIP-8_W7.62mm";1;"AD620";;;
18;"U2,U3,U4,U5,U6";"DIP-8_W7.62mm";5;"LM741";;;
19;"J1";"TerminalBlock_4Ucon_1x02_P3.50mm_Vertical";1;"Screw_Terminal_01x02";;;
20;"J2";"TerminalBlock_4Ucon_1x03_P3.50mm_Vertical";1;"Screw_Terminal_01x03";;;
